Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,Mt Terrible,147.675000,,0.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK5RSC near Sellicks Hill, South Australia OPEN",,,,
1,Ocean View,145.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RKC near Brisbane North, Queensland OPEN",,,,
2,Mt Yogi,146.625000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RCC near Caboolture, Queensland OPEN",,,,
3,Mt. Maurice,146.625000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RGT near Gladstone, Queensland OPEN",,,,
4,Wanneroo,146.625000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK6RNC near Perth, Western Australia OPEN",,,,
5,Somersby,146.637500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,12.50,,50W,"VK2RAG near Gosford, New South Wales OPEN Module B static TG - REF023 C Module C static TG - REF001 C https://vk2rag.dstargateway.org/",,,,
6,Toormina,146.650000,-,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK2RDO near Coffs Harbour, None",,,,
7,Mt Bindo,146.650000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK2RDX near Oberon, New South Wales OPEN",,,,
8,Terry Hie Hie,146.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK2RMI near The Tops, New South Wales OPEN",,,,
9,Green Hill,146.650000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK3RBT near Ballarat, Victoria OPEN",,,,
10,Mt Cann,146.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK3REG near Cann River, Victoria OPEN",,,,
11,Mt Wombat,146.650000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK3RGV near Euroa, Victoria OPEN",,,,
12,Booral,146.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RHB near Hervey Bay, Queensland OPEN",,,,
13,Campbells Park,146.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4ROM near Roma, Queensland OPEN",,,,
14,VK5RNC,146.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK5RNC near Naracoorte, South Australia OPEN",,,,
15,Harvey,146.650000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK6RBY near Bunbury, Western Australia OPEN",,,,
16,Mt Faulkner,146.650000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK7RAF near Granton, Tasmania OPEN 123 local 141.3 to link to VK7RAB.",,,,
17,McCraes Knob,146.675000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK2RCV near Grafton, New South Wales OPEN Monthly Meetings 2nd Sat of Month from 11:30am at Braunstone 10mins Sth of Grafton. All Welcome",,,,
18,Stringybark Hill,146.675000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK2RLH near Newbridge, New South Wales OPEN",,,,
19,Ballendella,146.675000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK3RCA near Rochester, None",,,,
20,Arthur's Seat,146.675000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK3RSP near Rosebud, Victoria OPEN",,,,
21,Mt Kiangarow,146.675000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RET near Bunya Mountains, Queensland OPEN BAD-WAN Linked Repeater",,,,
22,"Jordan Creek, Sarina Range",146.675000,-,0.600000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RSA near Sarina, None OPEN Dual Mode Repeater. P25 &amp; Analog.",,,,
23,Willunga Hill,146.675000,-,0.600000,TSQL,88.5,91.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK5RSV near Willunga, None OPEN",,,,
24,VK6RNR,146.675000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK6RNR near Northampton, Western Australia OPEN",,,,
25,VK2RMU,146.700000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK2RMU near Nowra Hill, New South Wales OPEN",,,,
26,Middle Brother,146.700000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK2RPM near Kew, New South Wales OPEN",,,,
27,Ferny Creek,146.700000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK3RML near Ferntree Gully, Victoria OPEN",,,,
28,Mt Archer,146.700000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RAR near Rockhampton, Queensland OPEN",,,,
29,Mt Stuart,146.700000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RAT near Townsville, Queensland OPEN",,,,
30,Four Mile Hill,146.700000,-,0.600000,Tone,91.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"VK4RMI near Mount Isa, Queensland OPEN",,,,
