Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,WR4AYC,145.110000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"WR4AYC near Parkland, Broward County, Florida OPEN",,,,
1,N4LMI,145.110000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N4LMI near Bonifay, Holmes County, Florida OPEN",,,,
2,W1JXG,145.110000,-,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"W1JXG near Lee, Madison County, Florida OPEN",,,,
3,K4VRC,145.110000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4VRC near The Villages, Sumter County, Florida OPEN",,,,
4,AC0Y,145.130000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AC0Y near Orlando, Orange County, Florida OPEN",,,,
5,AB4AZ,145.130000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"AB4AZ near South Vero Beach, Indian River County, Florida OPEN",,,,
6,Laurel Rd/I-75,145.130000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N4SER near Venice, Sarasota County, Florida OPEN",,,,
7,WB4EN,145.130000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"WB4EN near Keystone Heights, Clay County, Florida OPEN",,,,
8,EOC Tower,145.150000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"WX4MC near Stuart, Martin County, Florida OPEN",,,,
9,KP4PC,145.150000,-,0.600000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"KP4PC near Holiday, Pasco County, Florida OPEN",,,,
10,Bradford County EOC,145.150000,-,0.600000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4BAR near Starke, Bradford County, Florida OPEN",,,,
11,AG4CQ,145.150000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AG4CQ near Kissimmee, Osceola County, Florida OPEN",,,,
12,WPOZ Tower,145.150000,-,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"AG4BV near Orlando, Orange County, Florida OPEN",,,,
13,W4PLB,145.160000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"W4PLB near Sanford, Seminole County, Florida OPEN",,,,
14,W4LX,145.170000,-,0.600000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4LX near Fort Myers, Lee County, Florida OPEN",,,,
15,AB4EY,145.170000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"AB4EY near Saint Augustine, Saint Johns County, Florida OPEN",,,,
16,AG4BV,145.170000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"AG4BV near Jupiter Farms, Palm Beach County, Florida OPEN",,,,
17,KG4NXO,145.170000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"KG4NXO near Ocala, Marion County, Florida OPEN",,,,
18,N2GKG,145.170000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"N2GKG near Key West, Monroe County, Florida OPEN Bilingual.",,,,
19,W4ACS,145.170000,-,0.600000,TSQL,88.5,156.7,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4ACS near Largo, Pinellas County, Florida OPEN",,,,
